SMILES_Ligands,Counterion,Abbreviation_in_the_article,IC50_Dark(M*10^-6),IC50_Dark_standard_error(M*10^-6),IC50_Dark_value,IC50_Light(M*10^-6),IC50_Light_standard_error(M*10^-6),IC50_Light_value,Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,IC50_Cisplatin(M*10^-6),IC50_Cisplatin_standard_error(M*10^-6),IC50_Cisplatin_value,IC50_class,num_ligands,Scaffold
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,3,35.8,1.7,35.8,,,,,,,A549,48.0,10.1007/s11243-018-0264-y,2018,7.5,1.3,7.5,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,4,>200,,200.0,,,,,,,A549,48.0,10.1007/s11243-018-0264-y,2018,7.5,1.3,7.5,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.Cc1ccc2ccc3ccc(C)nc3c2n1.Cc1ccc2ccc3ccc(C)nc3c2n1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,5,6.1,0.3,6.1,,,,,,,A549,48.0,10.1007/s11243-018-0264-y,2018,7.5,1.3,7.5,1,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.Cc1ccnc(-c2cc(C)ccn2)c1.Cc1ccnc(-c2cc(C)ccn2)c1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,1,>200,,200.0,,,,,,,HeLa,48.0,10.1007/s11243-018-0264-y,2018,7.3,1.44,7.3,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,2,>200,,200.0,,,,,,,HeLa,48.0,10.1007/s11243-018-0264-y,2018,7.3,1.44,7.3,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1.CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,3,21.7,1.5,21.7,,,,,,,HeLa,48.0,10.1007/s11243-018-0264-y,2018,7.3,1.44,7.3,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,4,88.7,5.5,88.7,,,,,,,HeLa,48.0,10.1007/s11243-018-0264-y,2018,7.3,1.44,7.3,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.Cc1ccc2ccc3ccc(C)nc3c2n1.Cc1ccc2ccc3ccc(C)nc3c2n1,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,5,64.9,4.9,64.9,,,,,,,HeLa,48.0,10.1007/s11243-018-0264-y,2018,7.3,1.44,7.3,0,3,C1=CC2CC1CC2c1nc2c3cccnc3c3ncccc3c2[nH]1.c1cnc2c(c1)ccc1cccnc12.c1cnc2c(c1)ccc1cccnc12
[O-]c1ccccc1/C=N/c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,Cl([O-])(=O)(=O)=O,Ru-2,3.71,3.5,3.71,,,,,,,HeLa,48.0,10.1080/00958972.2018.1469749,2018,,,,1,3,C(=N/c1ccccc1)\c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
[O-]c1ccccc1/C=N/c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1,Cl([O-])(=O)(=O)=O,Ru-2,21.59,1.02,21.59,,,,,,,A549,48.0,10.1080/00958972.2018.1469749,2018,,,,0,3,C(=N/c1ccccc1)\c1ccccc1.c1ccc(-c2ccccn2)nc1.c1ccc(-c2ccccn2)nc1
