,L1,L2,L3,L4,Counterion,Abbreviation_in_the_article,IC50Dark(M*10^-6),IC50Dark_standard_error(M*10^-6),IC50Light(M*10^-6),IC50Light_standard_error(M*10^-6),Excitation_Wavelength(nm),Irradiation_Time(minutes),Irradiation_Power(W*m^-2),Cell_line,Time(h),DOI,Year,Comments
2337,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,11.6,0.48,,,,,,MCF-7,48.0,10.1039/C9RA10357K,2020,
2338,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,8.08,0.2,,,,,,A2780,48.0,10.1039/C9RA10357K,2020,
2339,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,21.0,0.95,,,,,,HeLa,48.0,10.1039/C9RA10357K,2020,
2340,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CN)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-NH2,8.97,0.55,,,,,,LO2,48.0,10.1039/C9RA10357K,2020,
2341,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,6.74,0.41,,,,,,A549,48.0,10.1039/C9RA10357K,2020,
2342,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,6.42,0.33,,,,,,A549cisR,48.0,10.1039/C9RA10357K,2020,
2343,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,4.93,0.17,,,,,,MCF-7,48.0,10.1039/C9RA10357K,2020,
2344,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,3.43,0.12,,,,,,A2780,48.0,10.1039/C9RA10357K,2020,
2345,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,6.02,0.16,,,,,,HeLa,48.0,10.1039/C9RA10357K,2020,
2346,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(CNC(=O)CCCCC3CCSS3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir2,3.84,0.36,,,,,,LO2,48.0,10.1039/C9RA10357K,2020,
2347,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,0.37,0.1,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2348,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,0.17,0.1,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2349,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,0.03,0.01,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2350,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,0.1,0.1,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2351,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,0.1,0.1,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2352,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,7.9,0.5,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2353,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,0.1,0.01,,,,,,HeLa,72.0,10.1039/C8SC02920B,2019,
2354,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,1.6,0.21,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2355,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,2.1,0.3,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2356,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,0.93,0.1,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2357,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,2.4,0.2,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2358,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,0.94,0.1,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2359,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,>100,,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2360,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,1.32,0.1,,,,,,HepG2,72.0,10.1039/C8SC02920B,2019,
2361,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,0.71,0.04,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2362,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,0.65,0.2,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2363,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,0.16,0.1,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2364,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,0.73,0.5,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2365,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,0.26,0.1,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2366,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,>100,,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2367,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,0.12,0.02,,,,,,MCF-7,72.0,10.1039/C8SC02920B,2019,
2368,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,0.42,0.06,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2369,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,0.14,0.04,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2370,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,0.14,0.1,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2371,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,0.11,0.03,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2372,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,0.4,0.2,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2373,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,23.0,3.3,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2374,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,0.25,0.08,,,,,,HCT-116,72.0,10.1039/C8SC02920B,2019,
2375,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,0.55,0.11,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2376,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,2.29,0.5,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2377,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,1.1,0.3,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2378,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,0.69,0.01,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2379,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,1.23,0.1,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2380,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,50.0,3.6,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2381,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,1.27,0.32,,,,,,HCC827,72.0,10.1039/C8SC02920B,2019,
2382,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)c2ccccc21,N,,F[P-](F)(F)(F)(F)F,1d′,0.46,0.1,0.04,0.003,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2383,Cc1ccc(-c2c3nc(c(-c4ccc(C)cc4)c4ccc([n-]4)c(-c4ccc(C)cc4)c4nc(c(-c5ccc(C)cc5)c5ccc2[n-]5)C=C4)C=C3)cc1,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2a,1.22,0.03,0.11,0.08,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2384,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2c,0.15,0.05,0.009,0.004,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2385,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,CC(C)n1[c-][n+](C(C)C)cc1,CC(C)n1[c-][n+](C(C)C)cc1,,F[P-](F)(F)(F)(F)F,2e,0.16,0.04,0.006,0.002,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2386,Fc1c(F)c(F)c(-c2c3nc(c(-c4c(F)c(F)c(F)c(F)c4F)c4ccc([n-]4)c(-c4c(F)c(F)c(F)c(F)c4F)c4nc(c(-c5c(F)c(F)c(F)c(F)c5F)c5ccc2[n-]5)C=C4)C=C3)c(F)c1F,Cn1[c-][n+](C)cc1,Cn1[c-][n+](C)cc1,,O=S(=O)([O-])C(F)(F)F,2f,0.31,0.04,0.03,0.002,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2387,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,[C-]#[N+]c1ccc(OC)cc1,[C-]#[N+]c1ccc(OC)cc1,,F[B-](F)(F)F,3,2.9,0.02,0.12,0.02,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2388,CCC1=C(CC)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(CC)c5CC)C(CC)=C4CC)c(CC)c3CC,c1ccncc1,c1ccncc1,,[Cl-],4,0.11,0.005,0.005,0.001,visible light,60.0,28.0,NCI-H460,72.0,10.1039/C8SC02920B,2019,The wavelength of irradiation is not specified in the source article
2389,Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cccc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL1,3.673,,,,,,,MDA-MB-468,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2390,Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c3ccccc3cc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL2,20.35,,,,,,,MDA-MB-468,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2391,Cc1c(C)c(C)[c-](C)c1C,O=c1c(-c2nc3c4cccnc4c4ncccc4c3[nH]2)coc2ccccc12,[Cl-],,F[P-](F)(F)(F)(F)F,IrL3,20.27,,,,,,,MDA-MB-468,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2392,Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)c[nH]c2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL4,5.202,,,,,,,MDA-MB-468,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2393,Cc1c(C)c(C)[c-](C)c1C,c1ccc2sc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL5,4.412,,,,,,,MDA-MB-468,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2394,Cc1c(C)c(C)[c-](C)c1C,c1ccc2c(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cccc2c1,[Cl-],,F[P-](F)(F)(F)(F)F,IrL1,11.42,,,,,,,HaCaT,48.0,10.1039/D2RA01036D,2022,The standart error value is not specified in the source article
2395,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,14.5,0.5,,,,,,A2780,24.0,10.1039/C7SC03216A,2017,
2396,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,8.6,0.1,,,,,,A2780cisR,24.0,10.1039/C7SC03216A,2017,
2397,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,13.8,0.5,,,,,,A549,24.0,10.1039/C7SC03216A,2017,
2398,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,16.21,0.08,,,,,,PC-3,24.0,10.1039/C7SC03216A,2017,
2399,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccnc(-c2cc(C(=O)NC3CC(C)(C)N([O])C(C)(C)C3)ccn2)c1,,F[P-](F)(F)(F)(F)F,Ir-TEMPO1,32.7,0.5,,,,,,MRC-5,24.0,10.1039/C7SC03216A,2017,
2400,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,3.0,0.2,,,,,,A2780,24.0,10.1039/C7SC03216A,2017,
2401,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,2.57,0.08,,,,,,A2780cisR,24.0,10.1039/C7SC03216A,2017,
2402,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,7.5,0.6,,,,,,A549,24.0,10.1039/C7SC03216A,2017,
2403,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,0.53,0.02,,,,,,PC-3,24.0,10.1039/C7SC03216A,2017,
2404,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CC1(C)CC(NC(=O)c2ccnc(-c3cc(C(=O)NC4CC(C)(C)N([O])C(C)(C)C4)ccn3)c2)CC(C)(C)N1[O],,F[P-](F)(F)(F)(F)F,Ir-TEMPO2,8.2,0.7,,,,,,MRC-5,24.0,10.1039/C7SC03216A,2017,
2405,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,0.84,0.07,,,,,,BEL-7404,48.0,10.1039/C8SC01142G,2018,
2406,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,1.24,0.08,,,,,,BEL-7404R,48.0,10.1039/C8SC01142G,2018,
2407,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,0.62,0.06,,,,,,NCI-H460,48.0,10.1039/C8SC01142G,2018,
2408,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,0.76,0.08,,,,,,H460/MX20,48.0,10.1039/C8SC01142G,2018,
2409,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,1.87,0.05,,,,,,SW620,48.0,10.1039/C8SC01142G,2018,
2410,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,5.27,0.11,,,,,,SW620/AD300,48.0,10.1039/C8SC01142G,2018,
2411,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,1.83,0.05,,,,,,SK-OV-3,48.0,10.1039/C8SC01142G,2018,
2412,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,1.97,0.06,,,,,,SKOV/Pt,48.0,10.1039/C8SC01142G,2018,
2413,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2sc(-c3ccnc(-c4cc(-c5nc6ccccc6s5)ccn4)c3)nc2c1,,[Cl-],OnIr1,1.14,0.06,,,,,,KB-3-1,48.0,10.1039/C8SC01142G,2018,
